question_id,question,option_a,option_b,option_c,option_d,correct_answer,domain,topic,difficulty_level,difficulty_band
AIML_0001,What does 'git clone URL' do?,Creates an empty repository,Downloads a copy of the remote repository to local machine,Pushes local code to remote,Merges two repositories,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0002,What does git clone create automatically?,Only the files,A local branch named 'master' or 'main' tracking the remote,An empty commit,A new GitHub account,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0003,What is the default directory name when cloning 'https://github.com/user/myrepo.git'?,user,git,myrepo,repo,C,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0004,What does 'git clone --depth 1 URL' do?,Clones only 1 branch,Creates a shallow clone with only the latest commit,Clones to depth of 1 folder,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0005,"After cloning, what is the default remote name?",upstream,source,main,origin,D,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0006,What command clones a specific branch?,git clone -b branch URL,git clone --branch URL,git fetch -b branch,git clone branch URL,A,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0007,What does 'git clone --mirror URL' do?,Clones only README,Creates a bare clone including all refs,Mirrors files without git history,Error,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0008,What does 'git clone URL newdir' do?,Error,Clones repo into directory named 'newdir',Creates remote named 'newdir',Clones and renames branches,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0009,What is a bare repository (git clone --bare)?,A repository with no commits,"A repository without a working tree, used as a remote",A repository with one file,An empty remote,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0010,"After cloning, how do you see which remote is set up?",git status,git log,git remotes,git remote -v,D,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0011,What does 'git clone --recurse-submodules URL' do?,Error,Clones the repo and all its submodules,Only clones submodules,Clones recursively through branches,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
AIML_0012,What protocol can git clone use?,HTTP only,"HTTPS, SSH, or Git protocol",FTP only,SFTP only,B,AIML,Git and Version Control,Foundational (L1-L10),Foundational
